"","season","posteam","week","go_boost","go","vegas_wp"
"1",2021,"TEN",1,-1.77109960615193,0,0.475285142660141
"2",2021,"ARI",1,-5.69518776375314,0,0.51899915933609
"3",2021,"TEN",1,-3.43021608664655,0,0.232197999954224
"4",2021,"ARI",1,0.58907009099668,0,0.708834290504456
"5",2021,"TEN",1,0.700239444460055,100,0.254856169223785
"6",2021,"TEN",1,-3.90778662241981,0,0.211804822087288
"7",2021,"TEN",1,3.04211289854272,0,0.113782934844494
"8",2021,"ARI",1,-2.10312689731247,0,0.918038904666901
"9",2021,"TEN",1,0.232551416792396,100,0.00357574317604303
"10",2021,"ARI",1,-0.0227879056887259,0,0.999838709831238
"11",2021,"TEN",1,0.0440395256837093,100,0.000262932066107169
"12",2021,"ARI",1,0.00209766504268849,0,0.999880909919739
"13",2021,"ARI",1,0.00209766504268849,0,0.999880909919739
"14",2021,"LV",1,-3.48997744312514,0,0.355494827032089
"15",2021,"BAL",1,-4.1780920595362,0,0.581882417201996
"16",2021,"LV",1,-3.08091340078906,0,0.34253117442131
"17",2021,"BAL",1,2.27892913397625,100,0.650168418884277
"18",2021,"LV",1,-2.294837516675,0,0.163970336318016
"19",2021,"BAL",1,-1.51179558556684,0,0.762413740158081
"20",2021,"LV",1,-3.75672810149175,0,0.141401514410973
"21",2021,"BAL",1,1.2316988320797,100,0.845771789550781
"22",2021,"BAL",1,-0.714287730954,0,0.711741983890533
"23",2021,"LV",1,-5.18063869398988,0,0.181693270802498
"24",2021,"BAL",1,-1.58616164565097,0,0.787779152393341
"25",2021,"LV",1,5.16285511945836,100,0.251655697822571
"26",2021,"BAL",1,-5.83387335511794,0,0.777263998985291
"27",2021,"LV",1,0.78323680748395,0,0.137828335165977
"28",2021,"BAL",1,-2.02307049494251,0,0.83150851726532
"29",2021,"CHI",1,1.77801317657133,100,0.10102816671133
"30",2021,"LA",1,0.44136113404929,0,0.932467877864838
"31",2021,"CHI",1,0.777380491434213,100,0.0668490678071976
"32",2021,"LA",1,0.888940776005265,100,0.954167246818542
"33",2021,"LA",1,-0.805420405693291,0,0.965060949325562
"34",2021,"CHI",1,1.11157450791841,0,0.0396747700870037
"35",2021,"LA",1,-0.915383182679197,0,0.958867251873016
"36",2021,"CHI",1,-1.03238057216954,100,0.0155986957252026
"37",2021,"CHI",1,-0.00120048338794484,100,0.000123827514471486
"38",2021,"CLE",1,0.764159352723631,100,0.360308021306992
"39",2021,"KC",1,2.84462200310291,0,0.517227709293365
"40",2021,"CLE",1,3.16660253625002,100,0.564993739128113
"41",2021,"KC",1,-1.39486426763735,0,0.246686533093452
"42",2021,"CLE",1,0.0295421892677172,100,0.704851806163788
"43",2021,"KC",1,-0.0917234815677015,0,0.442345589399338
"44",2021,"CLE",1,-4.89063037533541,0,0.50077086687088
"45",2021,"CLE",1,1.34989534095236,0,0.180339634418488
"46",2021,"KC",1,-8.32385116298675,0,0.724539875984192
"47",2021,"TB",1,-2.40001337878508,0,0.749603271484375
"48",2021,"DAL",1,-4.17613067541198,0,0.224311262369156
"49",2021,"TB",1,2.67447640254623,0,0.756774961948395
"50",2021,"TB",1,-0.608351410770747,0,0.719791769981384
"51",2021,"DAL",1,1.2089431913923,0,0.23071400821209
"52",2021,"DAL",1,-1.09597937861184,0,0.219131365418434
"53",2021,"DAL",1,1.62679861790616,0,0.181205168366432
"54",2021,"DAL",1,-3.47837799499112,0,0.329072654247284
"55",2021,"DAL",1,-2.35976075481535,0,0.19841668009758
"56",2021,"DAL",1,4.24650674196564,0,0.220023795962334
"57",2021,"TB",1,-1.57567374394613,0,0.764221251010895
"58",2021,"TB",1,0.75368214858299,0,0.776461005210876
"59",2021,"TB",1,0.86290637004458,0,0.749310493469238
"60",2021,"DAL",1,0.726965010761565,0,0.185426816344261
"61",2021,"DAL",1,-5.97230124902675,0,0.352639555931091
"62",2021,"NYG",1,-2.36881898201308,0,0.373786240816116
"63",2021,"NYG",1,-3.25187659341368,0,0.335759043693542
"64",2021,"DEN",1,0.427095283926449,0,0.603861391544342
"65",2021,"NYG",1,-4.4011484883615,0,0.328423857688904
"66",2021,"DEN",1,-0.138010671550715,100,0.638829410076141
"67",2021,"DEN",1,-2.31243812486015,0,0.67542976140976
"68",2021,"NYG",1,-6.84757430752588,0,0.376123398542404
"69",2021,"DEN",1,1.42141139619475,100,0.460611373186111
"70",2021,"DEN",1,0.404007057852351,100,0.799453437328339
"71",2021,"DEN",1,-2.29263025444616,0,0.932839334011078
"72",2021,"NYG",1,0.828893661444351,100,0.0290875267237425
"73",2021,"NYG",1,0.252121036811369,100,0.0333089753985405
"74",2021,"NYG",1,0.00725798279512386,100,0.000381496618501842
"75",2021,"DEN",1,0.0178220238895133,0,0.999512076377869
"76",2021,"NO",1,1.01223945875056,0,0.345431327819824
"77",2021,"GB",1,1.22049963366798,100,0.567886590957642
"78",2021,"GB",1,-2.5473902954516,0,0.544199347496033
"79",2021,"GB",1,-3.32160796387164,0,0.291244953870773
"80",2021,"NO",1,-1.8022032216541,100,0.675569534301758
"81",2021,"NO",1,2.04141059931292,NA,0.783354640007019
"82",2021,"NO",1,4.28364668873705,100,0.793972015380859
"83",2021,"GB",1,3.5649218871199,100,0.210369065403938
"84",2021,"NO",1,-2.98303458443866,0,0.858973324298859
"85",2021,"GB",1,0.967913746330411,100,0.0250281393527985
"86",2021,"GB",1,-0.00014747993030581,0,0.000158914932399057
"87",2021,"GB",1,-0.000333633393187568,0,4.91834252898116e-05
"88",2021,"NO",1,-0.00542771235217954,0,0.999884486198425
